                               Game of the Rope - Description of the internal state

Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
TSR   WRC SAB 08 SAB 18 SIP 19 SIP 14 SIP 11   WRC SAB 10 SAB 14 SAB 10 SIP 13 SIP 14 5 3 4 . 5 - 4 03 --
TSR   WRC SAB 08 SAB 18 SIP 19 SIP 14 SIP 11   WRC SAB 10 SAB 14 SIP 11 SIP 13 SIP 14 5 3 4 . 5 3 4 03 --
TSR   AST SAB 08 SAB 18 SIP 19 SIP 14 SIP 11   WRC SAB 10 SAB 14 SIP 11 SIP 13 SIP 14 5 3 4 . 5 3 4 03 --
TSR   WTR SAB 08 SAB 18 SIP 19 SIP 14 SIP 11   WRC SAB 10 SAB 14 SIP 11 SIP 13 SIP 14 5 3 4 . 5 3 4 03 --
TSR   WTR SAB 08 SAB 18 SIP 19 SIP 14 SIP 11   AST SAB 10 SAB 14 SIP 11 SIP 13 SIP 14 5 3 4 . 5 3 4 03 --
TSR   WRC SAB 08 SAB 18 SIP 19 SIP 14 SIP 11   AST SAB 10 SAB 14 SIP 11 SIP 13 SIP 14 5 3 4 . 5 3 4 03 --
TSR   WRC SAB 08 SAB 18 SIP 19 SIP 14 SIP 11   AST SAB 10 SAB 14 DYB 11 SIP 13 SIP 14 5 3 4 . 5 3 4 03 --
TSR   WRC SAB 08 SAB 18 DYB 19 SIP 14 SIP 11   AST SAB 10 SAB 14 DYB 11 SIP 13 SIP 14 5 3 4 . 5 3 4 03 --
TSR   WRC SAB 08 SAB 18 DYB 19 DYB 14 SIP 11   AST SAB 10 SAB 14 DYB 11 SIP 13 SIP 14 5 3 4 . 5 3 4 03 --
TSR   WRC SAB 08 SAB 18 DYB 19 DYB 14 SIP 11   AST SAB 10 SAB 14 DYB 11 SIP 13 DYB 14 5 3 4 . 5 3 4 03 --
TSR   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   AST SAB 10 SAB 14 DYB 11 SIP 13 DYB 14 5 3 4 . 5 3 4 03 --
TSR   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   AST SAB 10 SAB 14 DYB 11 DYB 13 DYB 14 5 3 4 . 5 3 4 03 --
WTC   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   AST SAB 10 SAB 14 DYB 11 DYB 13 DYB 14 5 3 4 . 5 3 4 03 00
WTC   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   WTR SAB 10 SAB 14 DYB 11 DYB 13 DYB 14 5 3 4 . 5 3 4 03 00
WTC   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   WTR SAB 10 SAB 14 DYB 11 DYB 13 DYB 14 5 3 4 . 5 3 4 03 00
WTC   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   WRC SAB 10 SAB 14 DYB 11 DYB 13 DYB 14 5 3 4 . 5 3 4 03 00
WTC   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   WRC SAB 10 SAB 14 DYB 11 DYB 13 DYB 14 5 3 4 . 5 3 4 03 00
WTC   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   WRC SAB 10 SAB 14 DYB 11 DYB 13 DYB 14 5 3 4 . 5 3 4 03 00
WTC   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   WRC SAB 10 SAB 14 DYB 11 DYB 13 DYB 14 5 3 4 . 5 3 4 03 00
WTC   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   WRC SAB 10 SAB 14 DYB 11 DYB 13 DYB 14 5 3 4 . 5 3 4 03 00
WTC   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   WRC SAB 10 SAB 14 DYB 11 DYB 13 DYB 14 5 3 4 . 5 3 4 03 00
WTC   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   WRC SAB 10 SAB 14 DYB 11 DYB 13 DYB 14 5 3 4 . 5 3 4 03 -6
EOG   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   WRC SAB 10 SAB 14 DYB 11 DYB 13 DYB 14 5 3 4 . 5 3 4 03 -6
Game 2 was won by team 1 by knock out in 3 trials.
SOG   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   WRC SAB 10 SAB 14 DYB 11 DYB 13 DYB 14 5 3 4 . 5 3 4 03 -6
Game 3 
Ref Coa 1 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5 Coa 2 Cont 1 Cont 2 Cont 3 Cont 4 Cont 5     Trial    
Sta  Stat Sta SG Sta SG Sta SG Sta SG Sta SG  Stat Sta SG Sta SG Sta SG Sta SG Sta SG 3 2 1 . 1 2 3 NB PS
SOG   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   WRC SAB 10 SAB 14 SAB 10 DYB 13 DYB 14 5 3 4 . 5 - 4 03 -6
SOG   WRC SAB 08 SAB 18 DYB 19 DYB 14 DYB 11   WRC SAB 10 SAB 14 SAB 10 SAB 12 DYB 14 5 3 4 . 5 - - 03 --
SOG   WRC SAB 08 SAB 18 DYB 19 DYB 14 SAB 10   WRC SAB 10 SAB 14 SAB 10 SAB 12 DYB 14 - 3 4 . 5 - - 03 --
SOG   WRC SAB 08 SAB 18 DYB 19 DYB 14 SAB 10   WRC SAB 10 SAB 14 SAB 10 SAB 12 SAB 13 - 3 4 . - - - 03 --
SOG   WRC SAB 08 SAB 18 SAB 18 DYB 14 SAB 10   WRC SAB 10 SAB 14 SAB 10 SAB 12 SAB 13 - - 4 . - - - 03 --
